id,time,dtg,address,lat,long,bat,batstat
1,10/16/17 17:30,10/16/17 17:29,"2831-2899 H St, Sacramento, CA 95816, USA",38.57568684,-12147%,10%,NotCharging
1,10/16/17 17:32,10/16/17 17:31,"2620 E St, Sacramento, CA 95816, USA",38.57964879,-121.4686811,10%,NotCharging
1,10/16/17 17:34,10/16/17 17:34,"2005 D St, Sacramento, CA 95811, USA",38.58309261,-121.4763738,9%,Charging
1,10/16/17 17:37,10/16/17 17:37,"400 N 16th St, Sacramento, CA 95811, USA",38.59117211,-121.4795401,10%,Charging
1,10/16/17 17:38,10/16/17 17:38,"525-743 N 16th St, Sacramento, CA 95811, USA",38.5929207,-121.4786451,10%,Charging
1,10/16/17 17:42,10/16/17 17:42,"2330-2350 Northgate Blvd, Sacramento, CA 95833, USA",38.60945455,-121.4755553,11%,Charging
1,10/16/17 17:48,10/16/17 17:48,"San Juan Rd, Sacramento, CA 95834, USA",38.62747991,-121.4973841,14%,Charging
1,10/16/17 21:05,10/16/17 21:04,"9663 Folsom Blvd, Sacramento, CA 95827, USA",38.57252237,-121.3371857,25%,NotCharging
1,10/16/17 21:11,10/16/17 21:11,"9592 Folsom Blvd, Sacramento, CA 95827, USA",38.5721775,-121.3369457,23%,NotCharging
1,10/16/17 21:13,10/16/17 21:12,"2725-2799 Stoughton Way, Sacramento, CA 95827, USA",38.57023927,-121.3452897,23%,NotCharging
1,10/16/17 21:15,10/16/17 21:14,"9529-9535 Mira Del Rio Dr, Sacramento, CA 95827, USA",38.57682584,-121.3445248,23%,NotCharging
1,10/16/17 21:17,10/16/17 21:16,"9461 Linda Rio Dr, Sacramento, CA 95827, USA",38.57033667,-121.3465615,23%,NotCharging
1,10/16/17 21:18,10/16/17 21:18,"9500 Butterfield Way, Sacramento, CA 95827, USA",38.57060665,-121.3460945,23%,NotCharging
1,10/16/17 21:30,10/16/17 21:30,"9484 Butterfield Way, Sacramento, CA 95827, USA",38.57058865,-121.3466842,23%,NotCharging
1,10/16/17 21:40,10/16/17 21:40,"9484 Butterfield Way, Sacramento, CA 95827, USA",38.57058603,-121.3466835,21%,NotCharging
1,10/16/17 21:50,10/16/17 21:49,"9461-9469 Linda Rio Dr, Sacramento, CA 95827, USA",38.57046051,-121.3462727,20%,NotCharging
1,10/16/17 22:01,10/16/17 22:01,"9484 Butterfield Way, Sacramento, CA 95827, USA",38.57058595,-121.3466787,20%,NotCharging
1,10/16/17 22:10,10/16/17 22:10,"9484 Butterfield Way, Sacramento, CA 95827, USA",38.57058752,-121.3466814,20%,NotCharging
1,10/16/17 22:22,10/16/17 22:21,"9471-9475 Butterfield Way, Sacramento, CA 95827, USA",38.57074375,-121.346329,18%,NotCharging
1,10/16/17 22:31,10/16/17 22:31,"9475-9499 Butterfield Way, Sacramento, CA 95827, USA",38.57070508,-121.3461625,18%,NotCharging
1,10/16/17 22:40,10/16/17 22:37,"9461-9469 Linda Rio Dr, Sacramento, CA 95827, USA",38.5704999,-121.3463471,18%,NotCharging
1,10/16/17 22:42,10/16/17 22:42,"9535-9551 Butterfield Way, Sacramento, CA 95827, USA",38.56945423,-121.3450025,17%,NotCharging
1,10/16/17 22:52,10/16/17 22:52,"9461 Linda Rio Dr, Sacramento, CA 95827, USA",38.57046349,-121.3463663,17%,NotCharging
1,10/16/17 23:01,10/16/17 23:01,"9461-9469 Linda Rio Dr, Sacramento, CA 95827, USA",38.57043884,-121.3462903,15%,NotCharging
1,10/16/17 23:10,10/16/17 23:10,"9517 Linda Rio Dr, Sacramento, CA 95827, USA",38.57070108,-121.3460531,14%,NotCharging
1,10/16/17 23:15,10/16/17 23:15,"9480-9484 Alcosta Way, Sacramento, CA 95827, USA",38.57339187,-121.3459737,14%,NotCharging
1,10/16/17 23:21,10/16/17 23:21,"9480-9484 Alcosta Way, Sacramento, CA 95827, USA",38.57340298,-121.3459716,14%,NotCharging
1,10/16/17 23:26,10/16/17 23:26,"2901-2999 Bradshaw Rd, Sacramento, CA 95827, USA",38.57120304,-121.3365128,15%,Charging
1,10/16/17 23:37,10/16/17 23:37,"1020 N St, Sacramento, CA 95814, USA",38.57581125,-121.4952522,20%,Charging
1,10/16/17 23:45,10/16/17 23:45,"3439-3451 Soda Way, Sacramento, CA 95834, USA",38.63047407,-121.5021782,23%,Charging
1,10/17/17 10:49,10/16/17 23:45,"3500 Soda Way, Sacramento, CA 95834, USA",38.6306808,-121.5016822,0%,Unknown
